"Score Range","Approve","Reject","Total","Approve %" 
"<=1297","0","2,642","2,642","0.00" 
"1298 to 1523","0","2,706","2,706","0.00" 
"1524 to 1601","0","2,692","2,692","0.00" 
"1602 to 1650","2,659","0","2,659","33.35" 
"1651 to 1738","2,653","0","2,653","33.27" 
">=1739","2,662","0","2,662","33.38" 
"Total","7,974","8,040","16,014","100.00" 
"Low Side Overrides Count","0","","","" 
"Low Side Overrides %","0.00","","","" 
"High Side Overrides Count","2,692","","","" 
"High Side Overrides %","25.24","","","" 
"Approval Rate Potential","66.60","","","" 
"Approval Rate Actual","49.79","","","" 
