"","Past 3 Months","","Past 6 Months","","Past 12 Months" 
"Category","Number of Loans","% of Total Overrides","Number of Loans","% of Total Overrides","Number of Loans","% of Total Overrides" 
"2D01-ลูกค้าเงินฝากรายใหญ่","0","0.00","0","0.00","0","0.00" 
"2D02-ผู้มีรายได้สูง","0","0.00","0","0.00","0","0.00" 
"2D03-ลูกค้าเก่าที่มีประวัติการชำระสินเชื่อดี","0","0.00","0","0.00","0","0.00" 
"2D04-ผู้บริหารระดับสูง","0","0.00","0","0.00","0","0.00" 
"31-ลูกค้าขอยกเลิกใบสมัคร","0","0.00","0","0.00","0","0.00" 
"32-ยกเลิกใบสมัครโดยพนักงานธนาคาร","0","0.00","0","0.00","0","0.00" 
"61-ยืนยันผลการปฏิเสธตามผลการพิจารณาของระบบที่กำหนดไว้ตามเกณฑ์ของธนาคาร","0","0.00","0","0.00","0","0.00" 
"610-มีประวัติชำระล่าช้า สินเชื่อ/บัตรเครดิตกับ GSB ไม่เป็นไปตามเกณฑ์","0","0.00","0","0.00","0","0.00" 
"611-เป็นหรือเคยเป็นหนี้ NPL หรือถูกระงับการให้บริการสินเชื่อ/บัตรเครดิต ของ GSB","0","0.00","0","0.00","0","0.00" 
"612-ตรวจพบข้อมูลใน Bank Ruptcy ว่ามีมีชื่ออยู่ในประกาศพิทักษ์ทรัพย์ / ล้มละลาย","0","0.00","0","0.00","0","0.00" 
"613-วงเงินรวมเกิน 5 เท่า / 8เท่า  ของรายได้ ","0","0.00","0","0.00","0","0.00" 
"614-บัญชีกระแสรายวันหรือ O/D มีเช็คคืน / ใช้เกินวงเงิน","0","0.00","0","0.00","0","0.00" 
"615-เงินเดือนรับเป็นเงินสดหรือเป็นเช็ค","0","0.00","0","0.00","0","0.00" 
"616-บัญชีธุรกิจหมุนเวียนน้อย / เดินบัญชีไม่สม่ำเสมอ ไม่สามารถพิจารณารายได้จากบัญชีได้","0","0.00","0","0.00","0","0.00" 
"617-ปฏิเสธผลการพิจารณาที่ระบบ Refer","109","23.39","109","23.39","109","23.39" 
"618-สถานประกอบกิจการไม่ชัดเจน","0","0.00","0","0.00","0","0.00" 
"619-ไม่เข้าหลักเกณฑ์ Related lending","0","0.00","0","0.00","0","0.00" 
"62-ปฏิเสธเนื่องจากไม่เป็นไปตามเกณฑ์ของผลิตภัณฑ์","0","0.00","0","0.00","0","0.00" 
"620-ลูกค้าปลอมเอกสาร","0","0.00","0","0.00","0","0.00" 
"621-Fraud Company","0","0.00","0","0.00","0","0.00" 
"622-พบข้อมูลเคยปลอมแปลงเอกสาร","0","0.00","0","0.00","0","0.00" 
"623-พบในรายชื่อบุคคลที่ถูกกำหนด (ปปง.)","88","18.88","88","18.88","88","18.88" 
"624-ไม่เข้าหลักเกณฑ์ SLL","0","0.00","0","0.00","0","0.00" 
"625-เป็นหรือเคยมีประวัติ Write off กับ GSB","0","0.00","0","0.00","0","0.00" 
"626-เป็นหรือเคยมีประวัติ Hair Cut (Partial Write off) กับ GSB","0","0.00","0","0.00","0","0.00" 
"627-เป็นหรือเคยเป็นหนี้ TDR ใน NCB","0","0.00","0","0.00","0","0.00" 
