" "," ","Deliquency"," "," "," "," "," "," "," "," "
"Approve Date","Total Account","ต.ค.-ธ.ค. (Q1) 2019","ม.ค.-มี.ค. (Q2) 2020","เม.ย.-มิ.ย. (Q3) 2020","ก.ค.-ก.ย. (Q4) 2020","ต.ค.-ธ.ค. (Q1) 2020","ม.ค.-มี.ค. (Q2) 2021","เม.ย.-มิ.ย. (Q3) 2021","ก.ค.-ก.ย. (Q4) 2021","ต.ค.-ธ.ค. (Q1) 2021"
"ต.ค.-ธ.ค. (Q1) 2019","8,038","9.54","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"ม.ค.-มี.ค. (Q2) 2020","9,732","0.00","8.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"เม.ย.-มิ.ย. (Q3) 2020","7,759","0.00","0.00","9.51","0.00","0.00","0.00","0.00","0.00","0.00"
"ก.ค.-ก.ย. (Q4) 2020","9,633","0.00","0.00","0.00","8.21","0.00","0.00","0.00","0.00","0.00"
"ต.ค.-ธ.ค. (Q1) 2020","7,604","0.00","0.00","0.00","0.00","9.50","0.00","0.00","0.00","0.00"
"ม.ค.-มี.ค. (Q2) 2021","9,773","0.00","0.00","0.00","0.00","0.00","8.21","0.00","0.00","0.00"
"เม.ย.-มิ.ย. (Q3) 2021","8,336","0.00","0.00","0.00","0.00","0.00","0.00","9.54","0.00","0.00"
"ก.ค.-ก.ย. (Q4) 2021","9,382","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8.23","0.00"
"ต.ค.-ธ.ค. (Q1) 2021","7,871","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.55"
